vendor_id,vendor_name,industry,location,contact_person,quality_score,delivery_score,price_competitiveness,financial_rating,compliance_score,past_disputes,years_in_business,number_of_employees,annual_turnover_cr,certifications,payment_terms,registration_date,last_evaluation_date,blacklisted,overall_score,risk_category
VEN00318,Fusion Corporation Limited,Heavy Equipment,Bangalore,Pankaj Shankar,56.47,64.28,68.33,58.63,64.45,7,6,177,36.96,None,Progress Payment,2021-01-18,2025-08-27,No,58.2665,High Risk
VEN00319,Gamma Technologies & Co,Roofing,Amritsar,Vikram Reddy,19.42,34.93,15.4,37.96,15.48,15,9,9,11.76,None,Letter of Credit,2019-12-25,2025-04-09,No,23.315,High Risk
VEN00320,Orion Imports & Co,Heavy Equipment,Bikaner,Mukesh Desai,62.67,59.41,64.69,67.82,65.34,2,21,200,56.46,None,Net 45 days,2021-10-02,2025-02-16,No,60.518,High Risk
VEN00321,Urban Platforms 874 Inc,Bridge Engineering,Udaipur,Gaurav Chopra,54.85,60.09,55.65,65.77,66.15,8,14,101,87.42,None,Letter of Credit,2024-06-29,2025-01-18,No,56.7545,High Risk
VEN00322,Urban Imports & Co,Wind Energy,Dhanbad,Vijay Shankar,69.54,81.85,74.07,76.87,84.96,3,21,29,28.18,None,Progress Payment,2025-04-14,2025-07-29,No,72.83349999999999,High Risk
VEN00323,Gulbarga Logistics Pvt Ltd,Mining Equipment,Belgaum,Abhishek Kumar,97.1,96.94,94.6,100.0,100.0,2,22,1913,90.64,"ISO 9001, ISO 14001","Advance 20%, Balance 80%",2023-06-06,2025-02-19,No,92.753,Low Risk
VEN00324,Beta Creations Limited,Bridge Engineering,Maheshtala,Ashok Iyer,35.46,51.88,40.43,46.55,41.88,12,30,32,5.14,None,Net 60 days,2021-02-22,2025-09-10,No,40.29749999999999,High Risk
VEN00325,Matrix Suppliers Limited,Pharmaceutical Infrastructure,Bhilai,Rohan Mishra,44.18,50.4,57.13,55.12,56.5,16,16,50,7.99,None,"Advance 20%, Balance 80%",2019-01-10,2025-11-28,No,48.3935,High Risk
VEN00326,Momentum Creations Pvt Ltd,HVAC Systems,Ulhasnagar,Vijay Joshi,73.5,61.59,70.57,56.77,71.67,9,13,22,91.88,None,Letter of Credit,2020-03-16,2025-07-07,No,62.933,High Risk
VEN00327,Coimbatore Technologies Ltd,Plumbing & Sanitation,Jalandhar,Pankaj Sinha,81.34,80.65,82.52,75.01,74.08,2,23,128,88.91,"ISO 9001, ISO 14001",Net 60 days,2014-03-26,2025-03-24,No,74.85700000000001,High Risk
VEN00328,Phoenix Manufacturers 465 Inc,Petroleum Infrastructure,Ulhasnagar,Amit Sharma,61.44,65.39,52.63,56.57,58.68,3,4,60,32.46,None,Progress Payment,2022-04-19,2025-10-03,No,56.298500000000004,High Risk
VEN00329,Quality Engineering & Partners,Gas Distribution,Tirunelveli,Deepak Joshi,80.54,79.81,76.65,81.18,81.6,3,27,1911,306.68,None,Progress Payment,2000-11-19,2025-01-11,No,75.92049999999999,Medium Risk
VEN00330,Kanpur Associates LLP,Water Treatment,Amritsar,Kiran Sharma,77.17,74.43,78.89,88.16,74.88,5,17,991,398.01,"ISO 9001, ISO 14001",Progress Payment,2014-11-08,2025-10-09,No,74.626,High Risk
VEN00331,Faridabad Logistics & Co,Pipeline Installation,Ranchi,Abhishek Shankar,88.59,94.91,83.52,89.82,85.68,1,26,398,62.95,ISO 9001,Progress Payment,2014-10-19,2025-06-02,No,84.4235,Medium Risk
VEN00332,India Constructions & Partners,Construction & Infrastructure,Vijayawada,Vishal Pandey,79.14,81.92,73.54,81.28,73.2,1,16,1960,209.44,"ISO 9001, ISO 14001",Net 60 days,2012-07-09,2025-11-15,No,74.386,High Risk
VEN00333,Star Developers & Sons,Mining Equipment,Kochi,Suresh Chopra,77.26,74.8,76.87,70.81,80.74,3,5,86,20.52,None,Net 60 days,2021-01-18,2025-07-18,No,71.9285,High Risk
VEN00334,City Networks & Co,Interior Design,Jalgaon,Ashok Agarwal,84.55,95.41,91.72,81.92,93.15,2,21,1734,248.0,None,Progress Payment,2015-05-23,2025-07-28,No,84.234,Medium Risk
VEN00335,Vertex Enterprises & Partners,Industrial Automation,Kota,Abhishek Khanna,92.71,80.82,80.34,92.73,81.73,0,24,1141,420.16,"ISO 9001, ISO 14001","Advance 20%, Balance 80%",2025-10-02,2025-03-14,No,82.19800000000001,Medium Risk
VEN00336,Aligarh Platforms Private Limited,Wind Energy,Aurangabad,Abhishek Pandey,91.13,98.1,89.51,92.02,97.58,0,27,762,119.2,"ISO 14001, OHSAS 18001","Advance 20%, Balance 80%",2005-07-27,2025-01-21,No,88.87,Low Risk
VEN00337,Moon Builders Limited,Tile & Marble,Bhubaneswar,Pankaj Tiwari,46.14,26.11,48.13,46.28,30.72,6,24,9,11.4,None,Net 60 days,2008-10-30,2025-10-22,No,37.5405,High Risk
VEN00338,Srinagar Traders & Associates,Railway Infrastructure,Kanpur,Amit Mehta,82.47,89.95,88.38,79.84,85.77,1,24,1751,464.76,"ISO 9001, ISO 14001",Net 45 days,2021-08-17,2025-06-03,No,80.648,Medium Risk
VEN00339,Optimal Networks & Associates,Heavy Equipment,Nellore,Gaurav Patel,73.63,70.04,69.87,62.16,68.19,3,22,77,68.28,None,"Advance 20%, Balance 80%",2009-12-06,2025-09-20,No,65.4065,High Risk
VEN00340,City Associates & Associates,Foundation Engineering,Lucknow,Nikhil Reddy,83.24,82.25,77.16,73.52,69.55,0,30,31,56.21,ISO 9001,Progress Payment,2007-05-31,2025-10-21,No,73.9705,High Risk
VEN00341,Galaxy Dhanbad Systems Private Limited,Security Systems,Udaipur,Amit Singh,72.2,73.34,57.39,64.81,70.57,7,19,136,78.16,None,Letter of Credit,2007-10-27,2025-07-26,No,64.52400000000002,High Risk
VEN00342,Kalyan-Dombivali Solutions Private Limited,Telecommunication,Malegaon,Ashok Pandey,74.57,76.35,77.23,82.12,85.55,5,24,1332,376.66,None,Net 30 days,2009-10-03,2025-05-20,No,74.50349999999999,High Risk
VEN00343,Pimpri-Chinchwad Constructions LLP,Scaffolding,Thane,Amit Mishra,27.6,40.78,40.81,34.39,40.1,22,7,10,6.72,None,Net 30 days,2020-09-27,2025-09-24,No,32.9705,High Risk
VEN00344,Vadodara Manufacturers & Partners,Mining Equipment,Saharanpur,Nikhil Kumar,43.95,52.79,59.13,40.34,39.31,25,28,50,9.2,None,Progress Payment,2007-04-17,2025-03-30,No,43.12950000000001,High Risk
VEN00345,Sai Saharanpur Developers & Partners,Waterproofing,Amravati,Abhishek Malhotra,65.84,63.71,58.67,75.25,65.74,9,4,146,66.04,None,Progress Payment,2022-04-25,2025-06-14,No,62.46349999999999,High Risk
VEN00346,Sri Solutions 481 & Co,Interior Design,Raipur,Mohit Malhotra,71.93,76.66,75.3,72.53,67.6,6,24,119,96.38,None,"Advance 20%, Balance 80%",2009-10-11,2025-04-11,No,68.9555,High Risk
VEN00347,Ranchi Fabricators Private Limited,Electrical Works,Loni,Nikhil Gupta,77.06,81.88,84.28,77.09,72.94,4,2,24,42.29,ISO 14001,Letter of Credit,2025-06-13,2025-03-26,No,74.442,High Risk
VEN00348,Moon Ventures Private Limited,Waterproofing,Kolhapur,Sanjay Singh,76.68,72.51,72.2,72.21,67.95,4,28,196,88.63,ISO 9001,Letter of Credit,2021-04-07,2025-11-13,No,68.9365,High Risk
VEN00349,Precision Enterprises 625 Private Limited,Road Construction,Indore,Suresh Agarwal,89.75,90.39,78.33,80.49,82.88,4,16,1600,441.72,None,Net 90 days,2022-11-06,2025-10-07,No,80.595,Medium Risk
VEN00350,Excellence Traders Pvt Ltd,Glass & Glazing,Guntur,Ajay Reddy,58.64,66.29,58.41,64.49,54.23,10,14,78,22.42,None,Net 90 days,2016-04-27,2025-05-11,No,57.212,High Risk
VEN00351,Sri Jalandhar Industries Pvt Ltd,Glass & Glazing,Erode,Anil Patel,84.98,79.57,78.92,73.22,87.38,1,29,1276,76.01,"ISO 9001, ISO 14001",Net 90 days,2002-08-15,2025-07-10,No,76.698,Medium Risk
VEN00352,Velocity Malegaon Engineering & Sons,Telecommunication,Delhi,Ramesh Agarwal,60.13,64.93,69.81,64.54,64.42,9,23,108,89.89,None,Net 30 days,2007-10-17,2025-08-29,No,60.611000000000004,High Risk
VEN00353,Gamma Engineering & Associates,Marine Engineering,Belgaum,Deepak Agarwal,13.18,26.95,26.03,33.11,15.2,5,29,39,12.26,None,"Advance 20%, Balance 80%",2015-02-10,2025-07-06,No,21.241500000000002,High Risk
VEN00354,Velocity Builders & Sons,Telecommunication,Amritsar,Nitin Singh,92.76,94.49,98.88,96.04,100.0,2,19,1258,371.59,"ISO 9001, ISO 14001, OHSAS 18001",Net 60 days,2020-09-10,2025-06-12,No,91.028,Low Risk
VEN00355,Erode Developers Inc,Textile Machinery,Tirunelveli,Vijay Singh,88.32,80.93,76.72,86.54,88.41,0,3,227,241.2,None,"Advance 20%, Balance 80%",2025-07-02,2025-06-02,No,80.3435,Medium Risk
VEN00356,Stellar Holdings 893 Inc,Automotive Components,Amritsar,Abhishek Sinha,88.06,80.99,88.73,86.34,75.47,1,16,1556,255.97,"ISO 9001, ISO 14001",Net 45 days,2014-01-26,2025-10-09,No,80.061,Medium Risk
VEN00357,Sigma Builders 379 Ltd,Bridge Engineering,Bhopal,Ankit Singh,75.65,77.46,80.95,90.86,79.86,3,1,1720,114.29,ISO 9001,Net 45 days,2025-07-05,2025-07-16,No,76.54799999999999,Medium Risk
VEN00358,Shree Enterprises Inc,HVAC Systems,Kolkata,Ankit Iyer,75.93,73.55,67.43,72.32,70.03,4,17,182,51.48,ISO 9001,Letter of Credit,2009-08-12,2025-06-25,No,68.57549999999999,High Risk
VEN00359,Summit Services & Associates,Tunnel Construction,Kolkata,Mohit Tiwari,70.89,68.64,78.32,80.58,73.18,5,4,184,60.34,None,Letter of Credit,2022-06-20,2025-03-06,No,70.0415,High Risk
VEN00360,Nova Group LLP,Tile & Marble,Gaya,Nikhil Agarwal,52.75,34.6,30.74,49.17,36.17,23,15,10,16.33,None,Net 90 days,2012-04-29,2025-06-27,No,38.828,High Risk
VEN00361,Moon Ventures Ltd,IT Infrastructure,Aligarh,Amit Agarwal,72.43,72.19,73.29,72.91,74.69,0,5,98,95.69,ISO 14001,Net 45 days,2025-08-10,2025-01-28,No,69.3245,High Risk
VEN00362,Dynamic Builders & Co,Foundation Engineering,Hubli-Dharwad,Rahul Rao,83.63,94.57,93.89,80.33,83.34,2,19,584,271.84,ISO 9001,"Advance 20%, Balance 80%",2024-07-30,2025-06-29,No,82.37200000000001,Medium Risk
VEN00363,Bharat Corporation Pvt Ltd,Port Development,Varanasi,Amit Joshi,60.24,73.47,71.24,60.72,69.57,9,3,182,55.04,None,Net 45 days,2025-02-20,2025-05-31,No,62.56949999999999,High Risk
VEN00364,Bhilai Ventures Inc,Pipeline Installation,Bhubaneswar,Suresh Kumar,75.87,76.52,66.8,64.66,81.89,2,20,84,85.55,ISO 9001,Letter of Credit,2011-10-04,2025-08-22,No,69.40700000000001,High Risk
VEN00365,Sai Ghaziabad Manufacturers Inc,Waste Management,Nellore,Anil Reddy,100.0,99.24,100.0,100.0,94.09,2,26,751,447.77,"ISO 9001, ISO 14001, OHSAS 18001",Progress Payment,2005-08-18,2025-07-22,No,93.8615,Low Risk
VEN00366,Moon Rajkot Associates Limited,Civil Engineering,Jodhpur,Amit Mishra,89.65,79.98,80.06,82.69,88.8,2,23,1101,393.11,"ISO 9001, ISO 14001, OHSAS 18001",Letter of Credit,2022-06-17,2025-03-08,No,80.1755,Medium Risk
VEN00367,Quantum Enterprises 386 & Sons,Water Treatment,Asansol,Nitin Shankar,88.9,77.89,85.15,92.73,84.86,0,24,140,391.29,"ISO 9001, ISO 14001",Net 90 days,2012-05-03,2025-08-17,No,81.85050000000001,Medium Risk
VEN00368,Sai Allahabad Corporation Limited,Pipeline Installation,Rajkot,Rajesh Mehta,20.46,25.45,32.14,22.24,22.94,23,22,48,12.46,None,Net 30 days,2022-01-01,2025-11-05,No,21.765,High Risk
VEN00369,Amritsar Platforms Limited,Roofing,Varanasi,Ramesh Mehta,69.72,63.88,62.61,63.94,67.99,2,14,184,70.58,None,Letter of Credit,2024-10-10,2025-06-26,No,62.484,High Risk
VEN00370,Urban Enterprises Inc,Road Construction,Chandigarh,Suresh Tiwari,77.61,78.07,70.97,74.0,72.2,4,26,26,99.12,ISO 14001,Net 45 days,2022-08-07,2025-08-03,No,71.092,High Risk
VEN00371,Star Surat Innovations Private Limited,Plumbing & Sanitation,Hyderabad,Nikhil Desai,70.82,64.98,63.3,60.45,63.06,7,27,33,83.95,None,Letter of Credit,2002-08-17,2025-08-09,No,61.395,High Risk
VEN00372,Precision Enterprises & Partners,Steel & Metal Fabrication,Lucknow,Vikram Sharma,90.55,91.98,80.45,92.3,80.34,2,21,984,79.61,"ISO 9001, ISO 14001","Advance 20%, Balance 80%",2017-05-20,2025-05-17,No,83.51200000000001,Medium Risk
VEN00373,Pinnacle Logistics 639 Limited,Road Construction,Delhi,Sumit Shankar,82.92,74.61,83.41,83.81,73.41,4,11,1303,136.62,ISO 14001,"Advance 20%, Balance 80%",2025-03-07,2025-02-08,No,75.737,Medium Risk
VEN00374,Akola Group & Co,Building Materials,Kota,Ankit Iyer,61.09,72.17,57.43,62.46,64.94,7,10,169,89.67,None,Net 90 days,2017-03-29,2025-09-25,No,60.204,High Risk
VEN00375,Phoenix Madurai Contractors & Sons,Tunnel Construction,Delhi,Arjun Sharma,87.42,79.34,83.97,94.09,88.72,0,26,240,203.7,"ISO 9001, ISO 14001, OHSAS 18001",Net 60 days,2011-01-31,2025-02-15,No,82.4445,Medium Risk
VEN00376,Matrix Jodhpur Solutions Private Limited,Construction & Infrastructure,Salem,Suresh Iyer,70.62,70.74,77.03,70.88,78.81,2,26,116,28.48,None,Net 30 days,2025-08-20,2025-06-06,No,69.25500000000001,High Risk
VEN00377,Sri Kochi Enterprises Ltd,Road Construction,Howrah,Mohit Mehta,69.98,82.28,66.76,68.46,67.16,2,24,64,40.58,None,Net 30 days,2014-11-27,2025-09-08,No,67.63100000000001,High Risk
VEN00378,Amritsar Platforms Private Limited,Cement & Concrete,Bangalore,Deepak Shankar,69.16,66.59,71.51,69.78,69.84,1,17,179,89.35,None,Net 45 days,2009-12-28,2025-11-05,No,65.71650000000001,High Risk
VEN00379,Faridabad Technologies Inc,Railway Infrastructure,Solapur,Rohan Rao,68.57,64.6,76.0,67.46,74.39,1,11,83,14.79,ISO 14001,"Advance 20%, Balance 80%",2016-02-24,2025-10-05,No,66.063,High Risk
VEN00380,Zenith Manufacturers 810 Private Limited,Wind Energy,Ujjain,Anil Verma,73.42,70.7,70.49,69.8,66.95,2,17,197,53.5,None,"Advance 20%, Balance 80%",2014-11-03,2025-04-10,No,66.971,High Risk
VEN00381,Atlas Platforms Limited,Fire Safety,Rajkot,Sanjay Mehta,73.78,77.08,76.31,72.8,83.76,2,18,41,22.09,None,Net 45 days,2015-12-20,2025-03-18,No,72.3315,High Risk
VEN00382,Premier Group Limited,Water Treatment,Madurai,Gaurav Khanna,85.6,77.8,78.84,75.6,76.47,5,3,835,455.66,ISO 14001,Net 30 days,2025-07-01,2025-07-20,No,75.1265,Medium Risk
VEN00383,Bharat Projects Pvt Ltd,Tile & Marble,Cuttack,Prakash Rao,76.45,84.66,82.55,76.0,82.9,1,28,159,92.11,None,Letter of Credit,2010-05-22,2025-05-16,No,76.012,Medium Risk
VEN00384,Sigma Innovations Inc,Waterproofing,Jalgaon,Arjun Shankar,80.48,80.87,86.52,85.97,84.63,1,11,1721,88.64,"ISO 9001, OHSAS 18001",Net 90 days,2021-04-03,2025-08-23,No,79.11050000000002,Medium Risk
VEN00385,Paramount Industries Limited,Tunnel Construction,Visakhapatnam,Mukesh Tiwari,100.0,96.5,97.3,99.96,97.14,2,18,713,196.74,"ISO 14001, OHSAS 18001",Progress Payment,2022-06-28,2025-06-22,No,93.358,Low Risk
VEN00386,Summit Technologies & Associates,Bridge Engineering,Hubli-Dharwad,Prakash Iyer,82.2,89.29,76.47,76.64,83.82,0,27,1511,321.51,None,Net 45 days,2008-08-17,2025-07-16,No,77.7795,Medium Risk
VEN00387,Pegasus Jamshedpur Infrastructure & Partners,Interior Design,Ahmedabad,Rohan Agarwal,97.37,92.18,98.16,89.56,92.45,2,3,896,479.79,ISO 9001,"Advance 20%, Balance 80%",2023-07-07,2025-04-09,No,89.18200000000002,Low Risk
VEN00388,Stellar Meerut Group & Partners,Pharmaceutical Infrastructure,Allahabad,Prakash Kumar,38.21,31.61,20.87,23.34,30.55,20,15,34,11.95,None,Net 90 days,2023-11-23,2025-07-14,Yes,27.2555,High Risk
VEN00389,Fusion Erode Exports & Co,Automotive Components,Mysore,Naveen Desai,91.33,86.92,94.17,82.53,88.7,1,23,189,157.86,"ISO 9001, OHSAS 18001",Progress Payment,2012-11-04,2025-11-04,No,84.103,Medium Risk
VEN00390,Gorakhpur Ventures Inc,Security Systems,Bhopal,Rohan Patel,72.65,65.26,60.36,61.21,57.95,2,3,183,72.5,None,Progress Payment,2023-05-08,2025-05-27,No,61.10300000000001,High Risk
VEN00391,Apex Developers Pvt Ltd,Petroleum Infrastructure,Thane,Deepak Rao,65.73,58.15,69.64,70.77,65.25,9,27,91,85.74,None,Net 30 days,2018-04-15,2025-11-29,No,61.99999999999999,High Risk
VEN00392,Howrah Enterprises Inc,Carpentry & Woodwork,Tirunelveli,Vishal Verma,99.41,94.17,96.22,94.8,92.98,2,18,542,248.93,ISO 14001,Progress Payment,2011-01-29,2025-10-17,No,90.9265,Low Risk
VEN00393,Optimal Pune Consultants Pvt Ltd,Food Processing,Pune,Sachin Mehta,40.84,37.31,45.24,58.86,43.21,11,22,47,2.2,None,Net 45 days,2004-06-07,2025-10-20,No,42.161500000000004,High Risk
VEN00394,Kolkata Ventures Inc,Construction & Infrastructure,Indore,Pankaj Rao,56.8,63.49,71.43,55.07,56.93,7,11,64,11.35,None,Net 90 days,2018-08-09,2025-06-30,No,56.815999999999995,High Risk
VEN00395,Salem Services Private Limited,Automotive Components,Ujjain,Ramesh Sinha,68.32,58.84,65.97,60.61,70.42,10,26,165,25.43,ISO 14001,Net 90 days,2011-05-22,2025-01-19,No,60.9285,High Risk
VEN00396,Jodhpur Solutions & Sons,Gas Distribution,Loni,Nikhil Patel,84.88,81.64,85.77,79.24,84.92,0,8,143,327.36,ISO 9001,Net 30 days,2021-02-17,2025-08-06,No,78.9995,Medium Risk
VEN00397,Prime Projects & Partners,Power Transmission,Howrah,Prakash Gupta,79.8,87.59,91.81,83.09,90.03,1,9,750,339.62,"ISO 9001, ISO 14001",Letter of Credit,2021-04-14,2025-01-11,No,81.31200000000003,Medium Risk
VEN00398,Pinnacle Logistics & Sons,Road Construction,Madurai,Vijay Mehta,75.99,67.66,76.44,77.08,74.85,3,17,102,26.52,ISO 9001,Net 30 days,2014-11-29,2025-11-03,No,70.489,High Risk
VEN00399,Rajkot Industries Private Limited,Wind Energy,Agra,Ravi Malhotra,65.31,59.25,59.92,64.45,68.08,6,10,167,50.34,None,Letter of Credit,2018-10-23,2025-08-27,No,59.9675,High Risk
VEN00400,India Projects & Associates,Carpentry & Woodwork,Guntur,Mohit Desai,75.5,76.68,76.16,60.69,67.92,0,25,96,63.57,None,Net 90 days,2018-01-21,2025-07-30,No,67.961,High Risk
VEN00401,Premier Ranchi Developers Inc,Pharmaceutical Infrastructure,Rourkela,Nikhil Patel,80.14,91.67,77.07,90.79,88.69,1,16,928,466.56,"ISO 9001, ISO 14001","Advance 20%, Balance 80%",2014-12-16,2025-07-04,No,81.34100000000001,Medium Risk
VEN00402,Matrix Networks Pvt Ltd,Electrical Works,Bhopal,Sachin Chopra,92.99,90.02,89.71,83.26,89.03,2,23,854,363.4,"ISO 9001, ISO 14001, OHSAS 18001",Letter of Credit,2015-01-25,2025-04-08,No,84.6145,Medium Risk
VEN00403,Atlas Mangalore Creations Pvt Ltd,Aerospace Engineering,Jammu,Arjun Joshi,66.17,68.17,74.79,76.47,66.45,0,25,43,68.0,None,"Advance 20%, Balance 80%",2008-09-11,2025-05-19,No,66.65650000000001,High Risk
VEN00404,Beta Platforms LLP,Mining Equipment,Tiruppur,Kiran Desai,86.71,81.77,77.36,76.16,77.82,5,28,42,19.83,"ISO 9001, ISO 14001",Net 45 days,2019-07-15,2025-07-24,No,76.2905,Medium Risk
VEN00405,Fusion Contractors 836 Pvt Ltd,Road Construction,Saharanpur,Rajesh Singh,97.21,98.51,99.29,93.67,95.71,2,5,505,268.91,ISO 9001,Net 30 days,2024-09-29,2025-09-04,No,91.88850000000001,Low Risk
VEN00406,Jalgaon Technologies & Co,Construction & Infrastructure,Bareilly,Mohit Sinha,45.35,31.99,32.13,33.07,31.62,5,19,20,10.08,None,Net 30 days,2010-11-06,2025-10-18,No,33.662000000000006,High Risk
VEN00407,Precision Mumbai Creations Limited,IT Infrastructure,Kolkata,Rahul Mehta,62.16,69.84,65.33,68.74,59.57,7,20,129,40.29,None,Letter of Credit,2010-08-24,2025-06-16,No,61.641,High Risk
VEN00408,Chandigarh Creations & Associates,Elevators & Lifts,Solapur,Vikram Nair,43.39,64.21,52.96,63.37,65.52,2,20,12,17.51,None,Net 90 days,2019-09-02,2025-08-03,No,54.03549999999999,High Risk
VEN00409,Alpha Ventures LLP,Marine Engineering,Akola,Pankaj Kumar,81.62,76.94,75.79,66.9,71.92,5,20,40,41.35,"ISO 9001, ISO 14001",Net 90 days,2015-04-05,2025-10-18,No,71.07950000000001,High Risk
VEN00410,Phoenix Faridabad Fabricators Ltd,Steel & Metal Fabrication,Noida,Suresh Gupta,81.54,84.16,84.01,75.69,82.56,0,16,189,58.66,None,Net 90 days,2011-02-21,2025-10-24,No,77.3405,Medium Risk
VEN00411,Supreme Platforms & Sons,Security Systems,Hubli-Dharwad,Ramesh Malhotra,78.35,72.74,72.63,77.78,71.99,9,3,197,39.95,ISO 14001,Net 90 days,2025-07-29,2025-01-13,No,70.9345,High Risk
VEN00412,Orion Innovations 448 Inc,Mechanical Engineering,Varanasi,Sanjay Joshi,69.65,80.08,83.22,80.14,70.09,2,5,100,95.87,ISO 14001,"Advance 20%, Balance 80%",2025-12-05,2025-07-02,No,72.35300000000001,High Risk
VEN00413,Hubli-Dharwad Ventures & Sons,Building Materials,Udaipur,Rohan Pandey,46.33,44.58,32.96,30.62,50.86,15,5,23,16.91,None,"Advance 20%, Balance 80%",2023-02-19,2025-04-19,No,38.445499999999996,High Risk
VEN00414,Royal Malegaon Creations Pvt Ltd,Aerospace Engineering,Asansol,Pankaj Reddy,65.11,76.59,71.12,72.26,63.95,6,23,116,15.29,None,Net 45 days,2010-12-29,2025-09-21,No,66.00800000000001,High Risk
VEN00415,Jammu Manufacturers Pvt Ltd,Tile & Marble,Maheshtala,Naveen Iyer,70.49,72.43,57.37,54.62,62.03,8,22,141,99.13,None,Net 30 days,2008-12-10,2025-05-22,No,60.5425,High Risk
VEN00416,City Jammu Platforms LLP,Mining Equipment,Jammu,Vishal Singh,86.82,90.41,91.13,88.89,84.85,0,19,381,248.85,"ISO 9001, ISO 14001",Progress Payment,2007-11-24,2025-08-30,No,83.96199999999999,Medium Risk
VEN00417,Paramount Manufacturers Limited,Building Materials,Indore,Arjun Shankar,56.31,58.34,38.42,59.49,40.43,6,4,37,13.35,None,Progress Payment,2022-08-11,2025-04-30,No,49.17100000000001,High Risk
VEN00418,Global Builders Private Limited,Construction & Infrastructure,Saharanpur,Mukesh Mishra,67.32,67.93,72.24,65.83,54.21,9,28,186,44.39,None,Net 30 days,2005-12-21,2025-06-03,No,62.09949999999999,High Risk
VEN00419,India Enterprises & Partners,Aerospace Engineering,Gulbarga,Sanjay Kumar,73.41,77.7,65.71,75.68,71.5,5,23,131,36.85,None,Letter of Credit,2011-05-08,2025-11-06,No,69.36,High Risk
VEN00420,Tiruchirappalli Imports Pvt Ltd,Cement & Concrete,Mysore,Abhishek Patel,72.46,73.99,60.67,73.25,77.5,3,6,173,72.57,None,Net 30 days,2020-12-03,2025-07-01,No,68.1385,High Risk
VEN00421,Bhavnagar Technologies Ltd,Tunnel Construction,Kanpur,Ashok Sharma,89.23,95.91,87.96,96.02,92.83,0,10,194,475.8,"ISO 9001, ISO 14001, OHSAS 18001",Net 90 days,2020-12-12,2025-09-28,No,87.81199999999998,Low Risk
VEN00422,Beta Kota Consultants Inc,Solar Energy,Amravati,Ravi Mishra,95.57,95.08,96.19,100.0,100.0,2,18,542,316.3,ISO 14001,Net 90 days,2013-08-09,2025-07-31,No,92.23700000000001,Low Risk
VEN00423,Tiruchirappalli Associates Private Limited,Roofing,Dhanbad,Gaurav Mishra,79.93,74.16,79.98,80.18,81.28,4,22,185,83.85,ISO 9001,Net 90 days,2022-06-30,2025-06-30,No,74.8395,High Risk
VEN00424,Phoenix Services Private Limited,Landscaping,Navi Mumbai,Sandeep Kapoor,75.73,84.92,80.48,80.01,79.05,1,9,120,94.08,ISO 9001,"Advance 20%, Balance 80%",2024-10-04,2025-10-06,No,75.798,Medium Risk
VEN00425,Stellar Saharanpur Enterprises Inc,Pipeline Installation,Raipur,Dinesh Kapoor,69.15,73.47,80.42,71.28,81.28,5,26,156,59.65,ISO 14001,Net 45 days,2007-11-16,2025-04-08,No,70.2425,High Risk
VEN00426,Shree Jhansi Group Ltd,Roofing,Ujjain,Deepak Gupta,78.14,88.9,92.89,88.62,81.28,2,14,1547,256.0,ISO 9001,"Advance 20%, Balance 80%",2019-07-04,2025-07-20,No,81.06450000000001,Medium Risk
VEN00427,Jabalpur Innovations Private Limited,Textile Machinery,Jabalpur,Ankit Rao,60.42,63.69,60.76,70.39,60.58,6,18,146,82.75,None,"Advance 20%, Balance 80%",2025-09-12,2025-05-05,No,59.822,High Risk
VEN00428,Bhiwandi Corporation Inc,Interior Design,Jhansi,Sandeep Shankar,95.22,86.97,91.15,92.25,90.35,2,22,1985,420.51,"ISO 9001, ISO 14001, OHSAS 18001",Progress Payment,2012-04-25,2025-04-23,No,86.774,Low Risk
VEN00429,Agra Infrastructure & Sons,Tile & Marble,Pimpri-Chinchwad,Nitin Sharma,78.28,74.12,86.93,76.3,80.93,0,10,712,267.41,None,Net 45 days,2018-11-10,2025-02-20,No,74.83300000000001,High Risk
VEN00430,Orion Amravati Imports Pvt Ltd,Cement & Concrete,Warangal,Abhishek Sharma,80.87,81.28,75.7,89.86,78.6,2,1,307,243.86,ISO 14001,Net 90 days,2025-09-21,2025-05-12,No,77.4905,Medium Risk
VEN00431,Royal Traders & Co,Road Construction,Vasai-Virar,Nikhil Shankar,86.38,80.69,76.41,87.93,82.6,3,6,386,209.18,ISO 9001,Net 60 days,2023-09-18,2025-10-13,No,79.0205,Medium Risk
VEN00432,Prime Developers & Associates,Paints & Coatings,Malegaon,Ajay Sharma,77.45,80.43,74.04,76.52,78.59,5,23,52,39.24,"ISO 9001, ISO 14001",Net 30 days,2003-06-05,2025-05-23,No,73.397,High Risk
VEN00433,Quality Constructions Ltd,Waste Management,Vadodara,Nitin Agarwal,92.36,100.0,96.14,97.82,91.92,1,10,677,268.67,ISO 9001,Net 60 days,2020-03-15,2025-09-04,No,90.813,Low Risk
VEN00434,Metro Fabricators LLP,Roofing,Loni,Gaurav Mehta,79.61,89.65,87.74,80.98,91.64,2,21,404,153.22,OHSAS 18001,Net 30 days,2005-02-05,2025-09-25,No,80.83550000000001,Medium Risk
VEN00435,Kanpur Logistics Pvt Ltd,Mechanical Engineering,Solapur,Ankit Agarwal,79.57,81.25,83.53,84.02,86.17,2,4,651,213.61,"ISO 9001, ISO 14001",Net 45 days,2024-07-21,2025-06-28,No,78.3015,Medium Risk
